split,method,n,MnRE,ADE_kg,median_rel_err,within_1_5x,within_2x,spearman
random,physics,6538,0.3896819711139086,54.464014820306,0.8023664747826307,0.19088406240440503,0.3265524625267666,0.8392802786143608
random,category median,6538,0.5499562885823398,3.9854420696658033,0.5384615384615382,0.3883450596512695,0.5498623432242276,0.8125234740744143
random,CLIP image,6538,0.663145674537596,2.390142112987027,0.3199561617909522,0.5744876108901805,0.7464056286326094,0.9149271061820247
random,CLIP image + size,6538,0.7260161205856062,1.8380459043355828,0.24337438453248142,0.6762006729886816,0.8436830835117773,0.9564978161617378
random,product title + size,6538,0.6900501546746112,2.232668768595588,0.29141423847927317,0.6090547568063628,0.7889262771489752,0.9467675714551556
held_out_categories,physics,6887,0.3643246725810499,121.34494661842821,0.927217079725291,0.17032089443879775,0.29127341367794396,0.8662252756142134
held_out_categories,category median,6887,0.26805170078797924,12.910515674447396,0.96,0.12835777551909394,0.2256425148831131,
held_out_categories,CLIP image,6887,0.5085845513978562,6.111218501590777,0.5874981763475874,0.33933497894583997,0.5063162480034848,0.8600783336824259
held_out_categories,CLIP image + size,6887,0.6190716033390289,4.819876368605581,0.40667124247574343,0.4848264846812836,0.6966748947292,0.931421403821159
held_out_categories,product title + size,6887,0.5777798117826015,6.177394686781115,0.48376664264176683,0.41106432408886306,0.6175402933062292,0.9244640014899518
